orden_id,productos
2,chorizo
2,galletas
2,refresco
3,fruta tropical
3,yogurt
3,cafe
4,fruta citrica
4,pan semi-acabado
4,margarina
4,sopas listas
5,leche entera
6,pepita de fruta
6,yogurt
6,crema de queso 
6,carne para untar
7,otras verduras
7,leche entera
7,leche condensada
7,producto de panaderia de larga duracion
8,leche entera
8,mantequilla
8,yogurt
8,arroz
8,limpiador de cocina
9,galletas
10,otras verduras
10,leche-UHT
10,galletas
10,cerveza embotellada
10,licor (aperitivo)
11,maceta de plantas
12,leche entera
12,cereales
13,fruta tropical
13,otras verduras
13,pan blanco
13,agua embotellada
13,chocolate
14,fruta citrica
14,fruta tropical
14,leche entera
14,mantequilla
14,cuajada
14,yogurt
14,harina
14,agua embotellada
14,platos
15,carne de res
16,pollo
16,fruta tropical
17,mantequilla
17,azucar
17,jugo de frutas/verduras
17,periodicos
18,jugo de frutas/verduras
19,frutas/verduras embazadas
20,chocolate
21,bar de especialidades
22,otras verduras
23,mantequilla de leche
23,pastel
24,leche entera
25,fruta tropical
25,crema de queso 
25,queso procesado
25,detergente
25,periodicos
26,fruta tropical
26,hortalizas
26,otras verduras
26,postre congelado
26,galletas
26,harina
26,dulces para untar
26,bocadillos salados
26,waffles
26,caramelo
26,limpiador de baño
27,agua embotellada
27,cerveza enlatada
28,yogurt
29,salchicha
29,galletas
29,refresco
29,chocolate
30,otras verduras
31,pan moreno
31,refresco
31,jugo de frutas/verduras
31,cerveza enlatada
31,periodicos
31,bolsa de compras
32,yogurt
32,bebidas
32,agua embotellada
32,bar de especialidades
33,hamburguesa de carne
33,otras verduras
33,galletas
33,especies
33,agua embotellada
33,articulos de higiene
33,servilletas
34,hortalizas
34,otras verduras
34,leche entera
34,bebidas
34,azucar
35,cerdo
35,bayas
35,otras verduras
35,leche entera
35,crema batida/crema agria
35,endulcorante arfificial
35,refresco
35,limpiador de cocina
36,carne de res
36,uvas
36,detergente
37,pastel
37,refresco
38,jugo de frutas/verduras
39,cerveza enlatada
40,hortalizas
40,otras verduras
40,leche entera
40,postre
41,fruta citrica
41,bizcochos
41,periodicos
42,salchicha
42,galletas
42,refresco
42,cerveza enlatada
42,bar de especialidades
42,bolsa de compras
43,fruta tropical
43,hortalizas
43,leche entera
43,yogurt
43,huevos domesticos
43,pan moreno
43,pastel
43,azucar
43,cereales
43,cafe
43,refresco
43,waffles
43,caramelo
44,bayas
44,yogurt
45,cerveza enlatada
46,mantequilla de leche
46,yogurt
46,crema de queso 
46,queso untado
46,galletas
46,agua embotellada
46,refresco
46,periodicos
47,cafe
48,pastel
48,agua embotellada
49,galletas
50,misc. bebidas
51,hortalizas
51,otras verduras
51,mantequilla
51,cuajada
51,crema batida/crema agria
51,leche-UHT
51,queso duro
51,galletas
51,agua embotellada
51,producto de panaderia de larga duracion
52,salchicha
52,galletas
52,comida de gatos
52,periodicos
53,cerveza enlatada
54,jamon
54,uvas
54,otras verduras
54,leche entera
55,pavo
55,fruta tropical
55,otras verduras
55,cuajada
55,huevos domesticos
55,pan moreno
55,pan semi-acabado
55,margarina
55,levadura de hornear
55,jugo de frutas/verduras
56,leche entera
56,yogurt
56,queso procesado
56,vegetales en escabeche
56,refresco
57,leche entera
57,cuajada
57,yogurt
57,pastel
58,frutas/verduras embazadas
58,pan moreno
58,cerveza enlatada
59,galletas
59,aceite
59,agua embotellada
59,chicles
59,chocolate marshmallow
59,articulos de higiene
59,servilletas
60,jamon
60,carne de res
60,crema batida/crema agria
60,helado
60,galletas
60,comida de gatos
61,galletas
61,pastel
61,azucar
62,otras verduras
62,leche entera
62,vegetales congelados
62,pescado enlatado
62,bocadillos salados
62,productos de temporada
62,detergente
63,salchicha
63,pastel
64,salchicha
64,carne de res
64,leche entera
65,chorizo
65,fruta tropical
65,galletas
65,pan moreno
65,azucar
66,galletas
66,pastel
66,refresco
67,leche entera
68,queso cuajada
68,cafe
69,vino tinto
69,periodicos
70,salchicha
70,leche entera
70,cuajada
71,fruta tropical
71,pepita de fruta
71,bayas
71,leche entera
71,productos de papas cogeladas
71,galletas
71,vegetales en escabeche
71,chocolate
72,vino tinto
73,leche entera
73,mantequilla
73,margarina
73,grasa especial
73,chocolate especial
73,velas
73,semilla de flores
74,chorizo
74,fruta citrica
74,leche entera
74,huevos domesticos
74,aceite
74,vino espumoso
74,chocolate especial
74,periodicos
75,leche entera
75,carne para untar
75,refresco
76,productos de papas cogeladas
77,otras verduras
77,leche entera
77,galletas
77,azucar
78,fruta citrica
78,leche entera
78,cuajada
78,mantequilla de leche
78,pastel
79,harina
79,sal
79,agua embotellada
79,jugo de frutas/verduras
79,cerveza embotellada
80,azucar
80,agua embotellada
80,refresco
80,cerveza embotellada
81,comidas congeladas
81,cafe
82,chocolate
83,hortalizas
83,leche entera
83,vegetales congelados
83,huevos domesticos
83,galletas
83,aceite
83,margarina
83,vegetales embazados
83,jugo de frutas/verduras
83,limpiador de baño
84,hortalizas
84,cebollas
84,queso duro
84,vegetales congelados
85,hierbas
85,leche condensada
85,vegetales congelados
85,sal
85,aceite
85,vino blanco
85,velas
86,agua embotellada
87,salchicha
87,hortalizas
87,cebollas
87,yogurt
87,galletas
87,coñac
87,detergente
88,cafe
88,periodicos
89,cerdo
89,otras verduras
89,crema batida/crema agria
90,bayas
90,yogurt
91,refresco
92,bayas
93,jugo de frutas/verduras
93,bocadillos salados
93,velas
94,fruta citrica
94,mantequilla de leche
94,yogurt
94,crema de queso 
95,cerdo
95,hamburguesa de carne
95,fruta citrica
95,bayas
95,cebollas
95,crema batida/crema agria
95,arroz
95,cafe
95,chocolate
96,detergente
97,uvas
97,foto/pelicula
98,salchicha
98,queso rebanado
98,galletas
98,pan moreno
98,jugo de frutas/verduras
98,cerveza enlatada
98,vino tinto
98,waffles
98,bolsa de compras
99,pollo
99,hamburguesa de carne
99,fruta citrica
99,fruta tropical
99,hortalizas
99,otras verduras
99,mantequilla
99,pasta
99,aceite
99,detergente
100,leche entera
100,yogurt
100,pan moreno
101,fruta citrica
